ID|First_Name|Last_Name|Email
65|Dave|Kujan|00000065@CSUBS.edu

66|Kristen|LaBonte|00000066@CSUBS.edu

67|Christian|Layow|00000067@CSUBS.edu

68|Ian|Lessing|00000068@CSUBS.edu

69|Xiaohong|Li|00000069@CSUBS.edu

70|Zachary|Liebhaber|00000070@CSUBS.edu

71|Tina|Lin|00000071@CSUBS.edu

72|Kristi|Liu|00000072@CSUBS.edu

73|Michelle|Macdonald|00000073@CSUBS.edu

74|Isabella|Madarang|00000074@CSUBS.edu

75|Janet|McFall|00000075@CSUBS.edu

76|Rebecca|Metzger|00000076@CSUBS.edu

77|Danelle|Moon|00000077@CSUBS.edu

78|Mary-Michelle||00000078@CSUBS.edu

79|Chizu|Morihara|00000079@CSUBS.edu

80|Eric|Mulhaupt|00000080@CSUBS.edu

81|Masaru|Nagano|00000081@CSUBS.edu

82|Paul|Naumann|00000082@CSUBS.edu

83|Bob|Nieder|00000083@CSUBS.edu

84|Jose|Nino|00000084@CSUBS.edu

85|Heather|Nisen|00000085@CSUBS.edu

86|Yasemin|Norris|00000086@CSUBS.edu

87|Dan||00000087@CSUBS.edu

88|Mark|Okuno|00000088@CSUBS.edu

89|Evelyn|Orozco|00000089@CSUBS.edu

90|Alissa|Pierce|00000090@CSUBS.edu

91|Raul|Pizano|00000091@CSUBS.edu

92|Annie|Platoff|00000092@CSUBS.edu

93|Marisol|Ramos|00000093@CSUBS.edu

94|Alex|Regan|00000094@CSUBS.edu

95|Lora|Richards|00000095@CSUBS.edu

96|Chrissy|Rissmeyer|00000096@CSUBS.edu

97|Jonathan|Rissmeyer|00000097@CSUBS.edu

98|Jake|Robin|00000098@CSUBS.edu

99|Robert|Romzick|00000099@CSUBS.edu

100|Karen|Scott|00000100@CSUBS.edu

101|Anna|Seiffert|00000101@CSUBS.edu

102|David|Seubert|00000102@CSUBS.edu

103|Heather|Silva|00000103@CSUBS.edu

104|Fran|Smith|00000104@CSUBS.edu

105|Linda|Snook|00000105@CSUBS.edu

106|Holly|Snyder|00000106@CSUBS.edu

107|Hannah|Sowers|00000107@CSUBS.edu

108|Kristy|Stahl|00000108@CSUBS.edu

109|Matt|Stahl|00000109@CSUBS.edu

110|Johannes|Steffens|00000110@CSUBS.edu

111|Laura|Treat|00000111@CSUBS.edu

112|Marvin|Trejo|00000112@CSUBS.edu

113|Marilyn|Treusdell|00000113@CSUBS.edu

114|Lily|Unterthiner|00000114@CSUBS.edu

115|Lidia|Uziel|00000115@CSUBS.edu

116|Rebecca|Vasquez|00000116@CSUBS.edu

117|Shantel|Williams|00000117@CSUBS.edu

118|Yinoly|Wisdom|00000118@CSUBS.edu

119|Maddie|Wishart|00000119@CSUBS.edu

120|Beth|Witherell|00000120@CSUBS.edu

121|tamsin|woo|00000121@CSUBS.edu

122|Yuan|Wu|00000122@CSUBS.edu

123|Lihong|Xie|00000123@CSUBS.edu

124|Kao|Yang|00000124@CSUBS.edu

